2025-01-08 16:09:00 - Buy signal: {'Time': '2024-10-15T11:49:00+05:30', 'Action': 'Buy', 'Price': 25060.15}
2025-01-08 16:09:00 - Sell signal: {'Time': '2024-10-15T12:09:00+05:30', 'Action': 'Sell', 'Price': 25071.9}
2025-01-08 16:09:00 - Buy signal: {'Time': '2024-10-15T12:35:00+05:30', 'Action': 'Buy', 'Price': 25069.85}
2025-01-08 16:09:00 - Sell signal: {'Time': '2024-10-15T12:56:00+05:30', 'Action': 'Sell', 'Price': 25064.95}
2025-01-08 16:09:00 - Buy signal: {'Time': '2024-10-15T13:17:00+05:30', 'Action': 'Buy', 'Price': 25032.3}
2025-01-08 16:09:00 - Sell signal: {'Time': '2024-10-15T13:50:00+05:30', 'Action': 'Sell', 'Price': 25050.35}
2025-01-08 16:09:00 - Buy signal: {'Time': '2024-10-15T15:04:00+05:30', 'Action': 'Buy', 'Price': 25050.2}
2025-01-08 16:47:23 - Buy signal: {'Time': '2024-10-15T11:49:00+05:30', 'Action': 'Buy', 'Price': 25060.15}
2025-01-08 16:47:23 - Sell signal: {'Time': '2024-10-15T12:09:00+05:30', 'Action': 'Sell', 'Price': 25071.9}
2025-01-08 16:47:23 - Buy signal: {'Time': '2024-10-15T12:35:00+05:30', 'Action': 'Buy', 'Price': 25069.85}
2025-01-08 16:47:23 - Sell signal: {'Time': '2024-10-15T12:56:00+05:30', 'Action': 'Sell', 'Price': 25064.95}
2025-01-08 16:47:23 - Buy signal: {'Time': '2024-10-15T13:17:00+05:30', 'Action': 'Buy', 'Price': 25032.3}
2025-01-08 16:47:23 - Sell signal: {'Time': '2024-10-15T13:50:00+05:30', 'Action': 'Sell', 'Price': 25050.35}
2025-01-08 16:47:23 - Buy signal: {'Time': '2024-10-15T15:04:00+05:30', 'Action': 'Buy', 'Price': 25050.2}
