time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
10-02-2015,8478.0996,8646.25,8470.5,8565.5498,8560.7666,8560.7666,8560.7666,8637.034406,8491.470013,8289.54143,7882.44515,202295001,190487848.2,47.87758793,64.00458318,NaN,NaN,NaN,NaN,NaN,NaN,-38.83737541,67.8416899,106.6790653,18.06688315,16.00111261
11-02-2015,8603.2998,8651.9502,8593.6504,8627.4004,8624.333667,8624.333667,8624.333667,8636.116882,8496.800616,8296.231706,7889.85764,166561006,192337798.5,51.76037684,62.69376837,NaN,NaN,NaN,NaN,NaN,NaN,-37.89968615,59.30445763,97.20414377,29.82332623,16.65748607
12-02-2015,8676.9502,8732.5498,8599.25,8711.5498,8681.116533,8681.116533,8681.116533,8643.300969,8505.222153,8304.455827,7898.033682,163680993,192990748.4,56.50745012,61.64701426,NaN,NaN,NaN,NaN,NaN,NaN,-30.84117001,58.65268126,89.49385127,45.81828232,31.2361639
13-02-2015,8741.5,8822.0996,8729.6504,8805.5,8785.75,8785.75,8785.75,8658.748496,8516.997755,8314.377494,7907.063197,228807999,192824198.4,61.10898459,60.76230455,NaN,NaN,NaN,NaN,NaN,NaN,-19.62049983,64.96822649,84.58872631,63.67615562,46.43925472
16-02-2015,8831.4004,8870.0996,8793.4004,8809.3496,8824.2832,8824.2832,8824.2832,8673.091458,8528.462533,8324.178922,7916.041172,140636996,190787748.3,61.28970901,59.7374662,NaN,NaN,NaN,NaN,NaN,NaN,-12.08456891,69.48301518,81.56758409,64.40788018,57.96743937
18-02-2015,8811.5498,8894.2998,8808.9004,8869.0996,8857.433267,8857.433267,8857.433267,8691.7589,8541.820849,8334.96943,7925.52434,152152998,191928098.1,64.07976966,58.90426654,NaN,NaN,NaN,NaN,NaN,NaN,-3.658231012,76.99479532,80.65302633,75.76504525,67.94969368
19-02-2015,8883.0498,8913.4502,8794.4502,8895.2998,8867.7334,8867.7334,8867.7334,8711.143748,8555.682769,8346.065081,7935.173847,219867005,194985748.2,65.26210872,58.07708957,NaN,NaN,NaN,NaN,65.26210872,NaN,2.75174216,84.09270403,81.34096187,80.74512887,73.63935143
20-02-2015,8895.5,8899.9502,8816.2998,8833.5996,8849.949867,8849.949867,8849.949867,8722.80621,8566.581468,8355.71923,7944.113407,203715002,195588948.1,60.23392926,57.7429339,NaN,NaN,NaN,NaN,NaN,NaN,1.946005647,83.77346893,81.82746329,81.97300735,79.49439382
23-02-2015,8856.8496,8869,8736.0996,8754.9502,8786.683267,8786.683267,8786.683267,8725.867542,8573.968477,8363.624794,7952.181435,143931998,193739948.1,54.47261677,57.05858341,NaN,NaN,NaN,NaN,NaN,NaN,-4.426253553,76.29464635,80.7208999,64.21719643,75.64511088
24-02-2015,8772.9004,8800.5,8726.75,8762.0996,8763.116533,8763.116533,8763.116533,8729.318214,8581.346168,8371.515384,7960.240322,154368999,191602148.2,54.89495869,56.62475413,NaN,NaN,NaN,NaN,NaN,NaN,-8.467889674,70.13603781,78.60392748,65.83123791,70.6738139
25-02-2015,8801.9004,8840.6504,8751.4004,8767.25,8786.4336,8786.4336,8786.4336,8732.930765,8588.636515,8379.351713,7968.270269,139407000,188971948.5,55.21725715,56.38830904,NaN,NaN,NaN,NaN,NaN,NaN,-10.94513863,64.92250419,75.86764282,66.99398713,65.68080716
26-02-2015,8779,8786.0498,8669.4502,8683.8496,8713.116533,8713.116533,8713.116533,8728.256369,8592.370361,8385.381374,7975.390461,224185008,190640898.9,49.09912617,55.77968166,NaN,NaN,49.09912617,NaN,NaN,NaN,-17.93815754,53.4449459,71.38310344,48.16559514,60.3302734
27-02-2015,8729.5,8856.9502,8717.4502,8844.5996,8806.333333,8806.333333,8806.333333,8739.336677,8602.261704,8394.474804,7984.039308,257225998,190289898.7,58.61688418,56.12189701,NaN,NaN,NaN,NaN,NaN,NaN,-11.77299513,56.66685953,68.43985466,84.45635649,66.53864626
28-02-2015,8913.0498,8941.0996,8751.3496,8901.8496,8864.766267,8864.766267,8864.766267,8754.814098,8614.010249,8404.52183,7993.171749,246453993,188833198.9,61.38613258,57.27192083,NaN,NaN,NaN,NaN,NaN,NaN,-4.262022742,63.11232623,67.37434897,91.65957642,74.76050935
02-03-2015,8953.8496,8972.3496,8885.4502,8956.75,8938.183267,8938.183267,8938.183267,8774.046088,8627.451023,8415.457041,8002.759592,224772997,189243999,63.88213767,58.41510296,NaN,NaN,NaN,NaN,NaN,NaN,3.558507703,71.8224836,68.2639759,95.88074123,90.66555805
03-03-2015,8962.8496,9008.4004,8925.5498,8996.25,8976.7334,8976.7334,8976.7334,8795.208366,8641.913728,8426.957892,8012.645069,183251993,187972998.7,65.60482312,59.40399198,NaN,NaN,NaN,NaN,65.60482312,NaN,10.17216991,80.97918828,70.80701837,97.03033408,94.85688391
04-03-2015,9109.1504,9119.2002,8893.9502,8922.6504,8978.600267,8978.600439,8978.600094,8807.345702,8652.92301,8436.773585,8021.699848,256059998,190713398.8,59.87438228,59.64448713,NaN,NaN,NaN,NaN,NaN,NaN,8.441754692,81.35921174,72.91745704,56.29798777,83.06968769
05-03-2015,8929.4004,8957.5498,8849.3496,8937.75,8914.883133,8914.883133,8914.883133,8819.765159,8664.092695,8446.69391,8030.814775,165081006,190016999.4,60.63409119,59.61056618,NaN,NaN,NaN,NaN,NaN,NaN,7.213479888,81.9343069,74.72082702,59.65531962,70.99454716
09-03-2015,8891.1504,8891.2998,8740.4502,8756.75,8796.166667,8796.166667,8796.166667,8813.763716,8667.726315,8452.833635,8038.038011,160333005,189205949.6,48.72507647,58.71309242,NaN,NaN,NaN,NaN,NaN,NaN,-6.166734167,67.01240931,73.17914348,19.4107393,45.1213489
10-03-2015,8769.75,8778,8677.3496,8712.0498,8722.466467,8722.466467,8722.466467,8804.076676,8669.464491,8457.966628,8044.744596,168915993,190085249.4,46.30620007,57.44355174,NaN,NaN,NaN,NaN,NaN,NaN,-17.74974534,50.9919618,68.74170714,9.471839911,29.51263294
11-03-2015,8728.75,8755.5996,8682.3496,8699.9502,8712.633133,8712.633133,8712.633133,8794.159869,8670.660009,8462.758382,8051.264055,178053005,188873149.6,45.64564845,56.04237601,NaN,NaN,NaN,NaN,NaN,NaN,-25.47815459,36.8940139,62.37216849,6.781545303,11.8880415
12-03-2015,8740.6504,8787.2002,8732.9004,8776,8765.366867,8765.366867,8765.366867,8792.430357,8674.790989,8468.961186,8058.475358,179338002,189511999.4,50.43176046,55.34222109,NaN,NaN,NaN,NaN,NaN,NaN,-24.70187941,31.49481923,56.19669864,23.69089494,13.31476005
13-03-2015,8844.0498,8849.75,8631.75,8647.75,8709.75,8709.75,8709.75,8778.651276,8673.730558,8472.501559,8064.338787,184665997,190561249.6,43.47879573,54.55694816,NaN,NaN,NaN,NaN,NaN,NaN,-31.61736178,16.67499641,48.29235819,3.28238659,11.25160895
16-03-2015,8656.75,8663.5498,8612,8633.1504,8636.2334,8636.2334,8636.2334,8764.79405,8672.139179,8475.682724,8069.998604,168438006,187542750,42.75613803,53.68988954,NaN,NaN,NaN,NaN,NaN,NaN,-35.66640239,3.70935521,39.3757576,4.170029901,10.38110381
17-03-2015,8689.0996,8742.5498,8630.7998,8723.2998,8698.883133,8698.883133,8698.883133,8760.842216,8674.145478,8480.586032,8076.499114,182504997,189636150,48.4533472,53.20675312,NaN,NaN,NaN,NaN,NaN,NaN,-30.94042801,0.700222586,31.64065059,21.94395822,9.798791572
18-03-2015,8742.9004,8747.25,8664,8685.9004,8699.050133,8699.050133,8699.050133,8753.7049,8674.606456,8484.651663,8082.562808,161154007,190086200.5,46.39058317,53.01328576,NaN,NaN,NaN,NaN,NaN,NaN,-29.03153457,-4.648767619,24.38276695,14.57026239,13.56141684
19-03-2015,8749.4502,8788.2002,8614.6504,8634.6504,8679.167,8679.167,8679.167,8742.366377,8673.039551,8487.621935,8088.056217,168627995,187524250,43.64833139,51.94410342,NaN,NaN,NaN,NaN,NaN,NaN,-29.80614443,-12.87491359,16.93123084,4.46577111,13.65999724
20-03-2015,8627.9004,8627.9004,8553,8570.9004,8583.9336,8583.9336,8583.9336,8726.036284,8669.034095,8489.271014,8092.860637,179983008,186337650.3,40.44560502,50.44835145,NaN,NaN,NaN,NaN,NaN,NaN,-32.95190241,-24.25864717,8.69325524,3.161496587,7.399176697
23-03-2015,8591.5498,8608.3496,8540.5498,8550.9004,8566.599933,8566.599933,8566.599933,8709.356676,8664.401401,8490.491398,8097.418246,155425997,186912350.2,39.46719049,48.70442665,NaN,NaN,NaN,NaN,NaN,NaN,-34.55181742,-34.49651654,0.055300885,1.788748439,3.138672045
24-03-2015,8537.0498,8627.75,8535.8496,8542.9502,8568.849933,8568.849933,8568.849933,8693.50844,8659.638608,8491.530186,8101.8514,161465008,187267150.7,39.06266475,46.80855819,NaN,NaN,NaN,NaN,NaN,NaN,-34.25121715,-42.75872055,-8.507503402,1.217209685,2.055818237
25-03-2015,8568.9004,8573.75,8516.5498,8530.7998,8540.366533,8540.366533,8540.366533,8678.012379,8654.586106,8492.307802,8106.119543,165951996,188594400.5,38.41462191,45.27571817,NaN,NaN,NaN,NaN,NaN,NaN,-32.96515018,-49.71394113,-16.74879095,3.231292517,2.079083547
26-03-2015,8474.9502,8499.4502,8325.3496,8342.1504,8388.9834,8388.9834,8388.9834,8646.025524,8642.333726,8489.334388,8108.468109,288758006,191823050.4,30.07273472,43.09276413,NaN,NaN,NaN,NaN,NaN,NaN,-42.31744913,-69.64560236,-27.32815323,2.968600417,2.47236754
27-03-2015,8396,8413.2002,8269.1504,8341.4004,8341.250333,8341.250333,8341.250333,8617.013607,8630.532419,8486.405002,8110.785843,198978994,188910700.2,30.04480108,41.75845875,NaN,NaN,30.04480108,NaN,NaN,NaN,-45.75965601,-84.52772324,-38.76806723,12.444032,6.214641644
30-03-2015,8390.9502,8504.5498,8380.75,8492.2998,8459.199867,8459.199867,8459.199867,8605.136102,8625.111532,8486.521731,8114.582002,138884006,183532200.8,41.76533041,41.43411091,NaN,NaN,NaN,NaN,NaN,NaN,-35.53487957,-83.18666669,-47.65178712,38.43430137,17.94897793
31-03-2015,8527.5996,8550.4502,8454.1504,8491,8498.533533,8498.533533,8498.533533,8594.265997,8619.852256,8486.61041,8118.327455,172364005,180911751.2,41.70052035,41.15231605,NaN,NaN,NaN,NaN,NaN,NaN,-26.91190863,-81.29167291,-54.37976428,38.21042936,29.69625424
01-04-2015,8483.7002,8603.4004,8464.75,8586.25,8551.4668,8551.4668,8551.4668,8593.502569,8618.53452,8488.583471,8122.983401,129447002,178221501.7,48.06104354,40.98297913,NaN,NaN,NaN,NaN,NaN,NaN,-13.52202836,-71.28229974,-57.76027137,54.6158833,43.75353801
06-04-2015,8615.7998,8667.5498,8573.75,8659.9004,8633.7334,8633.7334,8633.7334,8599.826172,8620.156712,8491.975885,8128.325858,151375004,172987252,52.38669296,41.6192575,NaN,NaN,NaN,NaN,NaN,NaN,0.806122085,-56.75261877,-57.55874085,75.28179377,56.03603548
07-04-2015,8684.4502,8693.5996,8586.8496,8660.2998,8646.916333,8646.916333,8646.916333,8605.585565,8621.73095,8495.309032,8133.619131,153264996,172396451.5,52.40983986,42.30880763,NaN,NaN,NaN,NaN,NaN,NaN,10.29471178,-44.69035112,-54.98506291,75.35874207,68.41880638
08-04-2015,8698.9502,8730.5,8679.7998,8714.4004,8708.2334,8708.2334,8708.2334,8615.948882,8625.365047,8499.647475,8139.398049,152800002,172019801.3,55.5612511,42.81651505,NaN,NaN,NaN,NaN,NaN,NaN,19.6561724,-30.4148474,-50.0710198,85.78174965,78.8074285
09-04-2015,8756.2002,8785.5,8682.4502,8778.2998,8748.75,8748.75,8748.75,8631.410875,8631.362488,8505.165343,8145.755281,157407003,171444351.8,59.01354421,43.71815513,NaN,NaN,NaN,NaN,NaN,NaN,29.02774388,-13.78633996,-42.81408384,98.0925915,86.41102774
10-04-2015,8774.3496,8787.4004,8733.5996,8780.3496,8767.116533,8767.116533,8767.116533,8645.595515,8637.20512,8510.614536,8152.069652,143286993,169706051.2,59.12324799,44.82350631,NaN,NaN,NaN,NaN,NaN,NaN,33.9011223,-0.437680967,-34.33880326,98.63949831,94.17127982
