entry_price,exit_price,position_type,exit_reason,profit,balance
25076.0,25067.95,Short,Trend Reversal,8.049999999999272,10000.0
25053.45,25057.5,Short,Trend Reversal,-4.049999999999272,10008.05
25049.6,25051.45,Short,Trend Reversal,-1.8500000000021828,10004.0
25071.4,25068.1,Short,Trend Reversal,3.3000000000029104,10002.149999999998
25064.05,25069.85,Short,Trend Reversal,-5.799999999999272,10005.45
25066.1,25031.85,Short,Trend Reversal,34.25,9999.650000000001
25052.6,25043.35,Short,Trend Reversal,9.25,10033.900000000001
25035.9,25051.9,Short,Trend Reversal,-16.0,10043.150000000001
25043.75,25044.0,Short,Trend Reversal,-0.25,10027.150000000001
25028.95,25050.2,Short,Trend Reversal,-21.25,10026.900000000001
